experiment_no,mode,T_C,pH,topo_wt_pct,na_li_mass_ratio,initial_Li_mol,initial_Na_mol,initial_OH_mol_from_pH,initial_DES_mol,oh_limited_max_li_plus_na_extraction_mol,li_extraction_pct_calc,na_extraction_pct_calc,li_extraction_pct_exp,na_extraction_pct_exp,li_abs_pct_error,na_abs_pct_error,selectivity_calc,selectivity_exp,converged,iterations,final_extent_delta,source
12,2025_born_no_ssm_empirical,35.0,10.5,20.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.4765440060535196e-10,5.74762394522813e-11,39.59,16.16,39.58999999965235,16.159999999942524,6.048662959134379,2.45,True,1,9.999683867674998e-13,Rezaee2025_Table5
13,2025_born_no_ssm_empirical,25.0,9.5,40.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.472075402745402e-10,5.7476333264708344e-11,37.5,10.72,37.49999999965279,10.719999999942525,6.040878402515158,3.5,True,1,9.999667545209637e-13,Rezaee2025_Table5
14,2025_born_no_ssm_empirical,35.0,9.5,40.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.4720247815198787e-10,5.7476294500829786e-11,36.32,15.01,36.3199999996528,15.009999999942524,6.040794403455764,2.42,True,1,9.999674289753882e-13,Rezaee2025_Table5
15,2025_born_no_ssm_empirical,25.0,10.5,40.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.490763916855286e-10,5.7493538403945064e-11,38.04,10.76,38.039999999650924,10.759999999942506,6.0715760653474735,3.53,True,1,9.996674015481396e-13,Rezaee2025_Table5
16,2025_born_no_ssm_empirical,35.0,10.5,40.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.490257146810591e-10,5.749315033195358e-11,35.44,14.74,35.43999999965097,14.739999999942507,6.070735603560714,2.4,True,1,9.996741536297544e-13,Rezaee2025_Table5
17,2025_born_no_ssm_empirical,20.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.472542309220594e-10,7.663390246650403e-11,37.63,8.49,37.629999999652746,8.489999999923366,4.531339521354025,4.43,True,1,9.99982525272385e-13,Rezaee2025_Table5
18,2025_born_no_ssm_empirical,40.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4724841915869953e-10,7.66338804876358e-11,31.51,13.65,31.509999999652752,13.649999999923367,4.53126498291738,2.31,True,1,9.999828120808549e-13,Rezaee2025_Table5
19,2025_born_no_ssm_empirical,30.0,9.0,30.0,15.0,0.1440922190201729,0.6524641461164746,1e-05,3.3738191632928474,1e-05,3.4702512473742474e-10,7.66326961284468e-11,33.64,11.07,33.63999999965298,11.069999999923368,4.5284211866402755,3.04,True,1,9.999982671189937e-13,Rezaee2025_Table5
20,2025_born_no_ssm_empirical,30.0,11.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.001,3.3738191632928474,0.001,3.4951652183498346e-10,7.664586222877969e-11,39.9,11.32,39.89999999965048,11.319999999923354,4.560148606479422,3.52,True,1,9.99826458950766e-13,Rezaee2025_Table5
21,2025_born_no_ssm_empirical,30.0,10.0,10.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,4.3377674956622325,0.0001,3.470647211694104e-10,7.663265852826911e-11,38.01,9.79,38.00999999965293,9.789999999923367,4.52894011293346,3.88,True,1,9.999987577743504e-13,Rezaee2025_Table5
22,2025_born_no_ssm_empirical,30.0,10.0,50.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,2.4098708309234627,0.0001,3.4762112806292587e-10,7.664273902891286e-11,38.91,11.58,38.90999999965238,11.579999999923357,4.535604187264087,3.36,True,1,9.998672144694513e-13,Rezaee2025_Table5
23,2025_born_no_ssm_empirical,30.0,10.0,30.0,5.0,0.1440922190201729,0.21748804870549157,0.0001,3.3738191632928474,0.0001,3.4711074702631236e-10,2.2989830554484583e-10,36.47,11.76,36.46999999965289,11.759999999770102,1.5098447385407203,3.1,True,1,9.999973225270517e-13,Rezaee2025_Table5
24,2025_born_no_ssm_empirical,30.0,10.0,30.0,25.0,0.1440922190201729,1.087440243527458,0.0001,3.3738191632928474,0.0001,3.476098321957738e-10,4.598259716302466e-11,30.1,7.85,30.099999999652393,7.849999999954017,7.559595447890282,3.83,True,1,9.999334668603093e-13,Rezaee2025_Table5
25,2025_born_no_ssm_empirical,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4725128418839075e-10,7.663389146078225e-11,31.83,8.55,31.829999999652745,8.549999999923367,4.531301720024204,3.72,True,1,9.999826688891621e-13,Rezaee2025_Table5
26,2025_born_no_ssm_empirical,30.0,10.0,30.0,15.0,0.1440922190201729,0.6524641461164746,0.0001,3.3738191632928474,0.0001,3.4725128418839075e-10,7.663389146078225e-11,31.65,8.22,31.649999999652746,8.219999999923367,4.531301720024204,3.85,True,1,9.999826688891621e-13,Rezaee2025_Table5
